"drefus","fidel","keystne","Putnminc","scudinc","windsor","valmrkt","tbill"
0.007902,0.003289,0.071006,0.01061,0.018195,0.041203,0.003706,0.0034
0.008711,0.027166,0.016574999,0.014436,0.009715,0.02139,0.028968999,0.004
-0.016408,-0.017328,-0.038043,0.008409,-0.003436,-0.018848,-0.011005,0.0042
0.000883,0.000928,-0.016949,-0.01178,-0.00069,0.011944,-0.008362,0.0037
0.056437001,0.064441003,0.068966001,0.009272,0.049477,0.055794001,0.046131,0.0043
-0.000835,-0.029617,-0.018817,0.016403999,-0.01328,0.003049,-0.007988,0.0047
-0.009236,-0.028276,-0.038780998,0.026350001,-0.003365,-0.00304,-0.000202,0.0042
0.033050999,0.017552,0.034582,0.021823,0.019768,0.028455,0.024869001,0.0044
-0.020509001,-0.034952,-0.052925002,0.009422,-0.022058999,-0.019763,-0.021743,0.0041
0.025253,0.016933,0.038235001,0.016518001,0.021189,0.043249,0.004721,0.004
0.061576001,0.047178999,0.062323,0.020625001,0.044867001,0.079879001,0.061060999,0.004
-0.022428,-0.037319999,-0.010667,-0.002497,-0.022771999,-0.030898999,-0.037714001,0.0036
-0.022631999,-0.032228,-0.040431,0.001252,-0.019308001,-0.017391,-0.016442999,0.0035
-0.012864,-0.000965,-0.008427,0.00625,-0.003434,-0.011799,-0.009964,0.0038
0.024327001,0.00628,0.01983,0.004348,0.018608,0.01194,0.003783,0.0038
-0.008532,-0.005281,0.005556,0.013871,0.008119,0.000999,-0.011942,0.0037
0.045611002,0.055985,0.110496998,0.014925,0.024557,0.052894,0.050546002,0.004
-0.014815,-0.021481,-0.035354,0.001838,0.001332,-0.010427,-0.015061,0.0042
-0.015126,-0.010276,-0.013089,0.013716,-0.004654,-0.019157,-0.014398,0.0044
0.007679,-0.007079,0.013263,0.00123,0.004755,0.008789,0.001147,0.0043
-0.04149,-0.051330999,-0.057592001,-0.0043,-0.011494,-0.024201,-0.039623,0.0049
0.054221999,0.064629003,0.086111002,0.010076,0.012312,0.047414001,0.043285999,0.005
0.011804,0.012235,0.028132999,-0.006858,-0.004135,0.006173,0.006964,0.0049
-0.053332999,-0.06803,-0.062189002,-0.006402,-0.015916999,-0.054191999,-0.056359999,0.0049
-0.01322,-0.035222001,0.002653,0.005155,0.001055,0.005405,-0.010754,0.0046
0.054545,0.041269999,0.074074,0.002564,0.013919,0.058065001,0.033080999,0.0053
0.075318001,0.113312997,0.103448004,0.000639,0.005058,0.083333001,0.081885003,0.0054
